# file...... output/Gen_1_meter.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 1
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_A.real,power_out_A.imag,power_out_A, power_out_B.real,power_out_B.imag,power_out_B, power_out_C.real,power_out_C.imag, power_out_C, pwr_electric.real,pwr_electric.imag,pwr_electric
2001-08-01 13:00:09.094000 PDT,+256594.333119,+221757.805972,+256594.333119+221757.805972i,+105943.698441,+132221.602984,+105943.698441+132221.602984j,+51160.1426744,+75219.4664596,+51160.1426744+75219.4664596j,+413698.174234,+429198.875416,+413698.174234+429198.875416i
2001-08-01 13:00:09.096000 PDT,+256528.410422,+221773.497595,+256528.410422+221773.497595i,+105873.603579,+132222.863845,+105873.603579+132222.863845j,+51078.8021271,+75226.7263205,+51078.8021271+75226.7263205j,+413480.816128,+429223.08776,+413480.816128+429223.08776i
2001-08-01 13:00:09.098000 PDT,+256463.142482,+221789.19881,+256463.142482+221789.19881i,+105804.173364,+132224.277893,+105804.173364+132224.277893j,+50998.2481791,+75234.1142793,+50998.2481791+75234.1142793j,+413265.564025,+429247.590982,+413265.564025+429247.590982i
2001-08-01 13:00:09.100000 PDT,+256398.527589,+221804.905415,+256398.527589+221804.905415i,+105735.406542,+132225.840517,+105735.406542+132225.840517j,+50918.4791282,+75241.6246925,+50918.4791282+75241.6246925j,+413052.413259,+429272.370625,+413052.413259+429272.370625i
2001-08-01 13:00:09.102000 PDT,+256334.562904,+221820.613598,+256334.562904+221820.613598i,+105667.300694,+132227.547334,+105667.300694+132227.547334j,+50839.4918399,+75249.2522369,+50839.4918399+75249.2522369j,+412841.355438,+429297.413169,+412841.355438+429297.413169i
2001-08-01 13:00:09.104000 PDT,+256271.244502,+221836.319897,+256271.244502+221836.319897i,+105599.852247,+132229.394159,+105599.852247+132229.394159j,+50761.2817666,+75256.9919186,+50761.2817666+75256.9919186j,+412632.378515,+429322.705974,+412632.378515+429322.705974i
2001-08-01 13:00:09.106000 PDT,+256208.567347,+221852.021256,+256208.567347+221852.021256i,+105533.056471,+132231.377043,+105533.056471+132231.377043j,+50683.8429692,+75264.8390765,+50683.8429692+75264.8390765j,+412425.466787,+429348.237376,+412425.466787+429348.237376i
2001-08-01 13:00:09.108000 PDT,+256146.525362,+221867.714986,+256146.525362+221867.714986i,+105466.907548,+132233.492235,+105466.907548+132233.492235j,+50607.1682017,+75272.7894059,+50607.1682017+75272.7894059j,+412220.601111,+429373.996628,+412220.601111+429373.996628i
2001-08-01 13:00:09.110000 PDT,+256085.111425,+221883.398822,+256085.111425+221883.398822i,+105401.398569,+132235.736231,+105401.398569+132235.736231j,+50531.2489084,+75280.8389806,+50531.2489084+75280.8389806j,+412017.758902,+429399.974034,+412017.758902+429399.974034i
2001-08-01 13:00:09.112000 PDT,+256024.317453,+221899.070881,+256024.317453+221899.070881i,+105336.521622,+132238.105728,+105336.521622+132238.105728j,+50456.0753754,+75288.984219,+50456.0753754+75288.984219j,+411816.91445,+429426.160828,+411816.91445+429426.160828i
2001-08-01 13:00:09.114000 PDT,+255964.134432,+221914.729675,+255964.134432+221914.729675i,+105272.267795,+132240.597647,+105272.267795+132240.597647j,+50381.6367231,+75297.2219292,+50381.6367231+75297.2219292j,+411618.03895,+429452.54925,+411618.03895+429452.54925i
2001-08-01 13:00:09.116000 PDT,+255904.55252,+221930.374107,+255904.55252+221930.374107i,+105208.627292,+132243.209109,+105208.627292+132243.209109j,+50307.9210121,+75305.5492509,+50307.9210121+75305.5492509j,+411421.100824,+429479.132467,+411421.100824+429479.132467i
2001-08-01 13:00:09.118000 PDT,+255845.561069,+221946.003465,+255845.561069+221946.003465i,+105145.589479,+132245.93747,+105145.589479+132245.93747j,+50234.9154051,+75313.9636872,+50234.9154051+75313.9636872j,+411226.065953,+429505.904622,+411226.065953+429505.904622i
2001-08-01 13:00:09.120000 PDT,+255787.148773,+221961.617387,+255787.148773+221961.617387i,+105083.142955,+132248.780269,+105083.142955+132248.780269j,+50162.6061673,+75322.4630811,+50162.6061673+75322.4630811j,+411032.897896,+429532.860738,+411032.897896+429532.860738i
